"filename", "language", "Markdown", "PHP", "CSS", "JavaScript", "Properties", "JSON", "XML", "HTML", "comment", "blank", "total"
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\addfont.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 55, 0, 1, 56
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\addlink.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 24, 0, 1, 25
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\addpage.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 57, 0, 1, 58
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\aliasnbpages.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 43, 0, 2, 45
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\cell.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 101, 0, 1, 102
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\close.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 21, 0, 1, 22
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\error.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 26, 0, 1, 27
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\footer.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 35, 0, 1, 36
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\getpageheight.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 18, 0, 1, 19
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\getpagewidth.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 18, 0, 1, 19
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\getstringwidth.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 23, 0, 1, 24
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\getx.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 0, 1, 21
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\gety.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 0, 1, 21
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\header.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 35, 0, 1, 36
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\image.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 101, 0, 1, 102
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\index.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 59, 0, 1, 60
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\line.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 38, 0, 1, 39
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\link.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 45, 0, 1, 46
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\ln.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 27, 0, 2, 29
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\multicell.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 73, 0, 1, 74
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\output.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 47, 0, 1, 48
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\pageno.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 18, 0, 1, 19
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\rect.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 48, 0, 1, 49
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\setauthor.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 33, 0, 1, 34
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\setautopagebreak.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 31, 0, 1, 32
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\setcompression.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 29, 0, 1, 30
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\setcreator.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 33, 0, 1, 34
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\setdisplaymode.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 46, 0, 1, 47
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\setdrawcolor.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 41, 0, 2, 43
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\setfillcolor.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 40, 0, 1, 41
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\setfont.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 83, 0, 1, 84
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\setfontsize.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 1, 26
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\setkeywords.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 33, 0, 1, 34
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\setleftmargin.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 30, 0, 1, 31
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\setlinewidth.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 28, 0, 1, 29
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\setlink.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 34, 0, 1, 35
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\setmargins.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 1, 37
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\setrightmargin.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 28, 0, 1, 29
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\setsubject.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 33, 0, 1, 34
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\settextcolor.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 39, 0, 1, 40
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\settitle.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 33, 0, 1, 34
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\settopmargin.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 28, 0, 1, 29
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\setx.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 28, 0, 1, 29
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\setxy.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 30, 0, 1, 31
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\sety.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 33, 0, 1, 34
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\text.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 37, 0, 1, 38
"c:\wamp64\www\financiera\utils\libs\fpdf\doc\write.htm", "HTML", 0, 0, 0, 0, 0, 0, 0, 50, 0, 1, 51
"c:\wamp64\www\financiera\utils\libs\fpdf\font\courier.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\wamp64\www\financiera\utils\libs\fpdf\font\courierb.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\wamp64\www\financiera\utils\libs\fpdf\font\courierbi.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\wamp64\www\financiera\utils\libs\fpdf\font\courieri.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\wamp64\www\financiera\utils\libs\fpdf\font\helvetica.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\wamp64\www\financiera\utils\libs\fpdf\font\helveticab.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\wamp64\www\financiera\utils\libs\fpdf\font\helveticabi.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
